NAME|BRANCH|ADDR|TELL
이니스프리|홈플러스_IF잠실점|서울특별시 송파구 올림픽로35가길 16잠실점 지하1층 이니스프리 (신천동,홈플러스)|02-423-1201
이니스프리|홈플러스_IF월드컵점 (폐쇄점)|서울특별시 마포구 월드컵로 240(월드컵경기장내아모레매장) (성산동)|02-3151-0401
이니스프리|홈플러스_IF영등포점|서울특별시 영등포구 당산로42 영등포점 이니스프리 (문래동3가,삼성홈플러스빌딩)|02-2672-0790
이니스프리|홈플러스_IF신도림점|서울특별시 구로구 경인로 661신도림1차 푸르지오 지하1,2층 홈플러스 신 (신도림동)|02-3439-7173
이니스프리|홈플러스_IF시흥점|서울특별시 금천구 시흥대로 201홈플러스 시흥점 지하1층 이니스프리 (시흥동)|02-802-4149
이니스프리|홈플러스_IF방학점|서울특별시 도봉구 도봉로 678방학점 지하2층 이니스프리 (방학동,홈플러스)|02-3494-1201
이니스프리|홈플러스_IF금천점|서울특별시 금천구 시흥대로 391(독산동)|02-808-7172
이니스프리|홈플러스_IF강서점|서울특별시 강서구 화곡로 398강서점 이니스프리 (등촌동,홈플러스)|02-2668-7189
이니스프리|홈플러스_IF강동점|서울특별시 강동구 양재대로 1571강동점 1층 이니스프리 (천호동,홈플러스)|02-470-6473
이니스프리|홈플러스_IF가양점 (폐쇄점)|서울특별시 강서구 양천로 431,1층 (가양동,홈플러스가양점)|02-2658-7128
이니스프리|이마트_IF하월곡점|서울특별시 성북구 종암로167 (하월곡동, 동일하이빌뉴시티)|02-912-1201
이니스프리|이마트_IF천호점|서울특별시 강동구 천호대로 1017천호점 1층 이니스프리 (천호동,이마트)|02-472-7139
이니스프리|이마트_IF이문점|서울특별시 동대문구 이문로 136(이문동,이문동웰츠타워)|02-959-1201
이니스프리|이마트_IF은평점|서울특별시 은평구 은평로 111은평점 2층 이니스프리 (응암동,이마트)|02-352-4635
이니스프리|이마트_IF월계점|서울특별시 노원구 마들로3길 15월계점 이니스프리 (월계동,이마트)|02-948-4507
이니스프리|이마트_IF용산점|서울특별시 용산구 한강대로21나길 17이마트 용산점 지하1층 이니스프리 (한강로3가)|02-2012-1204
이니스프리|이마트_IF왕십리점|서울특별시 성동구 왕십리광장로 17왕십리점 2층 이니스프리 (행당동,이마트)|02-2200-1288
이니스프리|이마트_IF영등포점|서울특별시 영등포구 영중로15 이마트 영등포점 지하 1층|02-2068-3980
이니스프리|이마트_IF여의도점|서울특별시 영등포구 여의동로3길 10(여의도동,여의도자이아파트)|02-783-1201
이니스프리|이마트_IF양재점|서울특별시 서초구 매헌로 16양재점 이니스프리 (양재동,이마트)|02-2155-1164
이니스프리|이마트_IF수색점|서울특별시 은평구 수색로 217수색점 이니스프리 (수색동,이마트)|02-376-1201
이니스프리|이마트_IF성수점|서울특별시 성동구 뚝섬로 379성수점 이니스프리 (성수동2가,이마트)|02-469-8203
