NAME|BRANCH|ADDR|TELL|TIME|XCORD|YCORD
커피베이|커피베이(본사)|서울특별시 금천구 가산동 60-24 월드메르디앙벤처센터1차 201호|1644-1157|||
커피베이|부평산곡점|인천광역시 부평구 마장로242번길 19, 1층 커피베이(산곡동)|032-505-7277||126.703713|37.499709
커피베이|인천검암점 |인천광역시 서구 승학로 578,1층 106호 커피베이(검암동,준암프라자)|070-7543-9755||126.683602|37.566974
커피베이|외대용인점|경기도 용인시  처인구 모현읍 문현로 348, 1층 커피베이(용인소상공인회관)|031-321-2738||127.107798|37.288189
커피베이|양주덕정점|경기도 양주시 고암길 36,1층 102호 커피베이 (고암동,대영빌딩)|031-858-8581||127.068023|37.831881
커피베이|부천심곡점|경기도 부천시 경인로 183-1, 1층 커피베이(심곡본동)|032-667-3449||126.775923|37.484073
커피베이|광주선운점|광주광역시 광산구 어등대로 422, 1층 커피베이(선암동)|062-945-3072||126.769868|35.149361
커피베이|전북고창터미널점|전라북도 고창군 고창읍 성산2길 6 고창터미널 화평상가 1층 5호 커피베이|063-564-2741|||
커피베이|영통중앙점|경기도 수원시 영통구 영통동 996-4 보보스프라자 1층 107호 커피베이|031-204-7836||127.074905 |37.254673
커피베이|능동은행사거리점|경기도 화성시 동탄지성로 140,더드림시티 1층 104호 커피베이 (능동) |031-613-7751||127.060389|37.209758
커피베이|한국관광공사서울센터점|서울특별시 중구 청계천로 40 한국관광공사 서울센터 2층 커피베이|02-318-8333||127.990208|37.324618
커피베이|부천벚꽃마을점|경기도 부천시 상이로39번길 26, 1층 커피베이(상동)|032-324-1028||126.742494|37.49253
커피베이|성북종암점|서울특별시 성북구 종암로 21길 87, 1층 커피베이|02-953-9133||127.031603|37.602129
커피베이|물금점|경상남도 양산시 물금읍 물금로 96-21, 1층 103호 커피베이(센트럴파크)|055-366-3200||128.985309|35.307175
커피베이|신풍래미안점|서울특별시 영등포구 신풍로 77, B동 지하2층 117호 커피베이(신길동)|02-846-7773||126.914098|37.501613
커피베이|홈플러스인하점|인천광역시 미추홀구 소성로 6, 지하1층 커피베이 (용현동, 홈플러스인하점)|X||126.650837|37.447035
커피베이|부산기장차성로점|부산광역시 기장군 기장읍 차성로 426,1층 커피베이 |051-723-1582||129.216624|35.253872
커피베이|부평시장역점|인천광역시 부평구 부평대로 83,1층 101호 커피베이 (부평동,강남타워) |032-516-7769||126.721764|37.498945
커피베이|의왕오전점|경기도 의왕시 모락로 111 , 2층 커피베이 (오전동,천용빌딩)|031-451-2766||126.974304|37.352199
커피베이|여수전남대점|전라남도 여수시 미평동 711-11 1층 커피베이|061-651-3838||127.702615|34.771985
커피베이|화성병점점|경기도 화성시 떡전골로 96-4, 1층 108호 커피베이(병점동,미라클 프라자)|031-222-3682||127.034215|37.207184
커피베이|숭실대점|서울시 동작구 상도로61길 72, 지층 101호 커피베이|02-6279-5678||126.958719|37.494441
커피베이|인천간석점|인천광역시 남동구 풀무로 11, 1층 커피베이(간석동)|032-434-9624||126.709343|37.469447
커피베이|성동성수점|서울시 성동구 성수동2가 333-15 한라시그마밸리 2차 1층 105호 커피베이|02-466-8088||127.054510|37.539855
커피베이|강동강일점|서울특별시 강동구 강일동 674번지 강일리버파크3단지 상가 106호 커피베이|02-426-5776||127.174223|37.566879
커피베이|동탄반송점|경기도 화성시 동탄중심상가1길 36,(반송동,원영빌딩) 101호 1층  커피베이|031-8003-6605|08:30 ~ 22:30|127.071587|37.201667
커피베이|용인명지대점|경기도 용인시 처인구 명지로 106,지하1층 커피베이(역북동)|031-323-2525||127.187476|37.226600
커피베이|수원화서역점|경기도 수원시 팔달구 덕영대로 697번길 7, 1층 4호 커피베이(화서동, 아트프라자)|031-244-9639||126.990426|37.284998
커피베이|부평점|인천광역시 부평구 부평공원로 29, 1층 커피베이 (부평동 )|032-278-8744||126.711413|37.48807
커피베이|김천율곡점|경상북도 김천시 용전4로2길 31 1층 커피베이|054-437-9888||128.195461|36.121609
커피베이|양산석계점||055-374-0990||129.060325|35.414248
커피베이|면목역점|서울특별시 중랑구 겸재로 187,1,2층 커피베이 (면목동)| 02-432-5139||127.088297|37.588783
커피베이|양평읍점|경기도 양평군 양평읍 중앙로 41,나동 1층 커피베이|031-773-0702||127.49411|37.496426
커피베이|연무점|충청남도 논산시 연무읍 마산리 530-5 연무로 214-1번지 커피베이 |041-741-4201|10:00 ~ 22:00|127.102289|36.129074
커피베이|노원하계점|서울시 노원구 한글비석로 91, 206동 1층 101호 커피베이 (하계동, 하계1차청구아파트)|02-949-1637|8시30분 ~ 22시|127.071523|37.63942
커피베이|양평시내점|경기도 양평군 양평읍 시민로 10, 1층 커피베이|031-775-6688||127.493048|37.489388
커피베이|부천부흥점|경기도 부천시 원미구 계남로 265 (중동) 1층 커피베이|032-321-3888||126.778274|37.50584
커피베이|인천송도점|인천광역시 연수구 송도동 3-13 풍림아이원3단지상가 1층 101호 커피베이 |032-858-3777|10:00 ~ 00:00일/공휴일 : 10:00|126.652733|37.394273
커피베이|당진신평점|충청남도 당진시 신평면 솔안말길 3, 1층 커피베이|041-357-2255||126.755288|36.881118
커피베이|신대방삼거리역점|서울시 동작구 상도동 250-6 1층 커피베이|02-3280-9080||126.932853 |37.499916
커피베이|노원상계점|서울특별시 노원구 동일로 243길 33,1층 커피베이 (상계동)|02-930-1877||127.05308|37.678477
커피베이|대전진잠로점|대전광역시 유성구 진잠로78번길 4,지상1층 커피베이(원내동)|042-545-3171||127.316314|36.298534
커피베이|구로월드아파트점|서울특별시 구로구 구로중앙로 229, 1층 17호 커피베이(구로동, 월드아파트)|02-2068-5282||126.875825|37.50586
커피베이|신도림이편한세상점|서울특별시 구로구 경인로59길7 ,1층 커피베이 (신도림동, 신도림6차 상가) |02-2631-3979||126.882621|37.505899
