NAME|BRANCH|ADDR|TELL|ID
한촌설렁탕|부천옥길점|경기 부천시 양지로 205 2층 215~216호|032-343-7419|154
한촌설렁탕|매송휴게소점|경기 화성시 매송면 서해안고속도로 316 |031-295-1501|153
한촌설렁탕|목포평화광장점|전남 목포시 평화로61번길 12 |061-284-0007|152
한촌설렁탕|구미산동점|경북 구미시 산동면 신당1로 18 호텔선용 101~103호|054-472-9887|151
한촌설렁탕|평택고덕국제점|경기 평택시 고덕면 고덕중앙로 218 우성메디컬타워 120~122호|031-8094-0633|150
한촌설렁탕|경주용황점|경북 경주시 용황로10길 10 |054-776-7763|149
한촌설렁탕|전주 송천에코시티점|전북 전주시 덕진구 세병로 174-19 기적빌딩 1층|063)278-8808|148
한촌설렁탕|광주첨단점|광주광역시 북구 첨단과기로208번길 43-10 마루힐 IBC 104호|062-973-7997|147
한촌설렁탕|전주만성법조타운점|전북 전주시 덕진구 가인로 12 다현법조빌딩 1층|063-212-8889|146
한촌설렁탕|가평휴게소점|경기 가평군 설악면 미사리로 544 (하행) 경기도 가평군 설악면 미사리로 540번길 51|031-584-1425(1426)|145
한촌설렁탕|천안구성점|충남 천안시 동남구 충절로 253 1층|041-567-9462|144
한촌설렁탕|천안신불당점|충남 천안시 서북구 불당21로 67-18 연세메디컬스퀘어 1층|041-563-3927|143
한촌설렁탕|광명소하점|경기 광명시 소하로 94 |02-898-9280|141
한촌설렁탕|롯데마트 서울양평|서울 영등포구 선유로 138 1층||140
한촌설렁탕|용인명지대점|경기 용인시 처인구 명지로 129 1층|031-333-2977|139
한촌설렁탕|덕평자연휴게소점|경기 이천시 마장면 덕이로154번길 287-76 |031-632-0813|138
한촌설렁탕|온양온천점|충남 아산시 온천대로 1480 1층(온천동)|041-531-3666|137
한촌설렁탕|성남시청점|경기 성남시 중원구 양현로405번길 14 |031-752-8254|136
한촌설렁탕|광주신현점|경기 광주시 오포읍 신현로 103 |031)713-5337|135
한촌설렁탕|상암점|서울 마포구 월드컵북로44길 76-11 B1|02)303-5084|134
한촌설렁탕|대구시지점 |대구 수성구 고산로 106 |053-792-6004|133
한촌설렁탕|군자점|서울 광진구 능동로 255 |02-468-4200|132
한촌설렁탕|강동명일점|서울 강동구 동남로 877 한화오벨리스크 1층|02-442-1103|131
한촌설렁탕|인천서창점|인천 남동구 서창남순환로216번길 46 MS프라자 1층|032-466-5060|130
한촌설렁탕|인천 제물포점 |인천 미추홀구 경인로 171 2층 한촌설렁탕 |032-863-8880|129
한촌설렁탕|김천점|경북 김천시 자산로 200 |054-437-0088|128
한촌설렁탕|수원호매실점|경기 수원시 권선구 금곡로102번길 37 |031-298-8006|127
한촌설렁탕|원광대병원점|전북 익산시 무왕로 895 원광대학병원 1F 검사실 옆(푸드코트)|063-859-2312|126
한촌설렁탕|안양벤처벨리점|경기 안양시 동안구 흥안대로427번길 57-2 평촌아이에스비즈타워 113~114호|031-424-1601|122
한촌설렁탕|발산역점|서울 강서구 강서로 341 1층|02-6489-2508|121
한촌설렁탕|구리토평점|경기 구리시 벌말로 103 2층|031-555-1982|120
한촌설렁탕|시흥정왕점|경기 시흥시 정왕대로 78 트윈프라자 1층|031-434-9598|119
한촌설렁탕|동탄역점|경기 화성시 동탄대로 469-12 (앨리스빌) 2층|031-375-5917|118
한촌설렁탕|공주점|충남 공주시 한적2길 28-4 |041-858-0101|117
한촌설렁탕|천안두정점|충남 천안시 서북구 두정동 912 1층|041-569-3010|116
한촌설렁탕|서산수석점|충남 서산시 수석동 594 |041-429-0229|114
한촌설렁탕|제주종합운동장점|제주 제주시 오라로 118 1층|064-725-4441|113
한촌설렁탕|천안법조타운점|충남 천안시 동남구 청수5로 11 1층  101,102,103호 (청당동)|041-557-4167|112
한촌설렁탕|강서등촌점|서울 강서구 등촌동 629-7 (SJ골프장 건물 1층)|02-2664-3333|111
한촌설렁탕|인천성모병원점|인천 부평구 동수로 56 4동 2호 (인천성모병원 뇌병원건물)|032-525-1393|110
한촌설렁탕|사당역점|서울 서초구 방배천로 36 삼남빌딩 1층|02-522-1011|109
한촌설렁탕|건대입구역점|서울 광진구 아차산로 241 연한빌딩 107호|02-465-5860|108
한촌설렁탕|청라스퀘어세븐점|인천 서구 청라동 155-7 청라스퀘어7 2층 260호|032-719-7955|107
한촌설렁탕|광교법조타운점|경기 수원시 영통구 광교중앙로266번길 30 1층 117호 118호|031-212-3377|106
한촌설렁탕|구미공단점|경북 구미시 공단동 257-16 한촌설렁탕|054-463-1006|105
한촌설렁탕|의정부점|경기 의정부시 의정부동 512-5 |031-876-9925|103
한촌설렁탕|충남예산점|충남 예산군 예산읍 발연리 66-9 |041-331-0331|102
한촌설렁탕|오산세교점|경기 오산시 세교동 378-1 |031-373-5212|101
한촌설렁탕|하남미사점|경기 하남시 조정대로 150 1층 R101호(덕풍동,아이테코)|031-790-0038|100
한촌설렁탕|김포풍무점|경기 김포시 풍무동 602 |031-989-0979|99
한촌설렁탕|평창점|강원 평창군 대관령면 횡계리 354-8 |033-333-7800|98
