NAME|BRANCH|ADDR|TELL|XCORD|YCORD
그램그램|이곡점|대구 달서구 이곡동 1248-11번지|053-637-9277|126.570667|33.450701
그램그램|평택고덕점|경기도 평택시 경기대로 987-1번지|031-612-9183|126.570667|33.450701
그램그램|동두천지행점|경기 동두천시 지행동 738-15번지|031-868-7775|126.570667|33.450701
그램그램|이천마장점|경기 이천시 마장면 덕평리 447-2번지|031-638-9559|126.570667|33.450701
그램그램|종로1호점|서울시 종로구 관철동 18-3번지 1층|02-739-7878|126.570667|33.450701
그램그램|동탄점 |경기 화성시 반송동 90-9번지. 2F, 206호|031-613-0144|126.570667|33.450701
그램그램|세종청사점|세종 세종시 보듬4로 9 도램마을 11단지, 2층|044-999-4492|126.570667|33.450701
그램그램|구월아시아드점|인천 남동구 구월동 인하로559 2층|032-467-1776|126.570667|33.450701
그램그램|구로점|서울특별시 구로구 공원로8길 11|02-858-9279|126.570667|33.450701
그램그램|박촌점|인천 계양구 박촌동 25-29 |032-543-1900|126.570667|33.450701
그램그램|배곧점|경기 시흥시 배곧3로 86 센터프라자2차 2층|031-433-0092|126.570667|33.450701
그램그램|세종점|세종시 보람동 629-2 금남프라자 2층 203호|044-862-9226|126.570667|33.450701
그램그램|화성와우점|경기 화성시 봉담읍 와우로 15번길 25|031-223-7830|126.570667|33.450701
그램그램|화성송산점|경기 화성시 송산면 송산포도로 75|031-355-5200|126.570667|33.450701
그램그램|괴산점|충북 괴산군 괴산읍 동부리 621-1번지, 2층|043-833-9233|126.570667|33.450701
그램그램|가평현리점|경기 가평군 조종면 현창로 38번길 24 | 031-585-2880|126.570667|33.450701
그램그램|엘지로점|경기 평택시 진위면 엘지로 83|031-376-9296|126.570667|33.450701
그램그램|거제면점|경남 거제시 거제면 소랑리 195-8|055-632-6644|126.570667|33.450701
그램그램|목포1호점|전남 목포시 연산동 1966-8|061-276-1472|126.570667|33.450701
그램그램|옥포아주점|경남 거제시 옥포동 536-8|055-688-4200|126.570667|33.450701
그램그램|부산영도점|부산 영도구 동삼동 510-45|051-403-0026|126.570667|33.450701
그램그램|인천송현점|인천 동구 송현동 66-266|032-773-9668|126.570667|33.450701
그램그램|보은점|충북 보은군 보은읍 삼산리 139-8, 1층|043-543-9299|126.570667|33.450701
그램그램|청주율량점|충북 청주시 청원구 율량동 2047|043-217-9293|126.570667|33.450701
그램그램|구로구청점|서울 구로구 구로동 98번지|02-3663-8547|126.570667|33.450701
그램그램|수월양정점|경남 거제시 수월동 1111-1번지 202호|055-633-4888|126.570667|33.450701
그램그램|충북진천점|충북 진천군 진천읍 읍내리 324-1|043-533-2929|126.570667|33.450701
그램그램|수원정자점|경기 수원시 장안구 정자동 81-15, 2층|031-234-5592|126.570667|33.450701
그램그램|평택역점|경기 평택시 평택동 298-2 2층|031-692-5592|126.570667|33.450701
그램그램|동안성점|경기 안성시 죽산면 죽산리 131-4|031-671-6692|126.570667|33.450701
그램그램|서충주신도시점|충북 충주시 대소원면 본리 910|043-844-9279|126.570667|33.450701
그램그램|광혜원점|충북 제천시 진천군 광혜원면 384-8|043-535-2988|126.570667|33.450701
그램그램|건양대점|충청남도 논산시 내동 1132|041-735-0078|126.570667|33.450701
그램그램|gram0715|123123|NULL|126.570667|33.450701
그램그램|장호원점|경기도 이천시 장호원읍 경충대로 110|031-642-9392|126.570667|33.450701
그램그램|충주용산점|충북 충주시 용산동 1644-4|043-857-9279|126.570667|33.450701
그램그램|천호점|서울시 송파구 올림픽로 613 (풍납동480-1)|02-477-9279|126.570667|33.450701
그램그램|장안점|서울시 동대문구 장한로 169(장안동 304-3)|02-2243-9233|126.570667|33.450701
그램그램|문막점|강원도 원주시 문막읍 건등리 199-13|033-745-9259|126.570667|33.450701
그램그램|충주시청점|충청북도 충주시 국원대로 197|043-852-9279|126.570667|33.450701
