NAME|BRANCH|ADDR|TELL|XCORD|YCORD
생고기제작소|안양범계역점|경기도 안양시 동안구 평촌대로223번길 16 현대프라자|031-381-9233|126.954636|37.3913677
생고기제작소|구산점|서울특별시 은평구 갈현동 527-15|070-7807-8959|126.9099639|37.6146996
생고기제작소|안산중앙점|경기도 안산시 단원구 고잔1길 52|031-410-9129|126.8390606|37.3179884
생고기제작소|당산역점|서울특별시 영등포구 당산로47길 8 당일빌딩|02-2633-2314|126.9020058|37.5348627
생고기제작소|조치원점|세종특별자치시 행복4길 21|044-866-6624|127.2920439|36.6046242
생고기제작소|제주 휴먼시아점|제주특별자치도 제주시 화삼북로 38|010-3129-4494|126.57690512527557|33.51707262504779
생고기제작소|아산터미널점|충청남도 아산시 번영로217번길 16|041-533-4146|127.0153189|36.7856288
생고기제작소|포항-이동점|경상북도 포항시 남구 이동 662-5|054-277-0773|129.3394105|36.0260328
생고기제작소|강서구청점|서울특별시 강서구 화곡로58길 39|02-2606-7877|126.8530942|37.5528355
생고기제작소|홍성법원점|경기도 파주시 법원로 11|041-634-9293|126.8762825|37.8474456
생고기제작소|대전오월드점|대전광역시 서구 복수동로 60|042-584-5592|127.3782529|36.2990414
생고기제작소|장유점|경상남도 김해시 번화1로44번길 23|055-313-4838|128.8031658|35.1919842
생고기제작소|부천역곡역점|경기도 부천시 부일로 724|032-347-4479|126.8102759|37.4853195
생고기제작소|오산원동점|경기도 오산시 경기대로 174 다모아프라자|031-373-9002|127.0738097|37.1402913
생고기제작소|창원대방점|경상남도 창원시 성산구 대방동 366-1|055-264-9564|128.7076251|35.2072453
생고기제작소|공주신관점|충청남도 공주시 번영1로 111|041-856-9955|127.1398142|36.474626
생고기제작소|청천영화다방점|인천광역시 부평구 마장로 398|032-505-5558|126.7042691|37.5136389
생고기제작소|양주옥정점|경기도 양주시 회천남로 88|031-866-9895|127.09280533072352|37.81856047197653
생고기제작소|의정부민락점|경기도 의정부시 민락동 811-1|031-852-4599|127.0971738|37.7445687
생고기제작소|북가좌점|서울특별시 서대문구 북가좌동 307-34|02-307-6375|126.9101649|37.5787916
생고기제작소|익산동산점|전라북도 익산시 서동로 113|063-917-6006|126.9636221|35.9347637
생고기제작소|원주무실점|강원도 원주시 봉바위길 20|033-904-9252|127.9322127|37.3317894
생고기제작소|지행역점|경기도 동두천시 지행로 52 |031-859-9992|127.0530194|37.8921099
생고기제작소|정읍상동점|전라북도 정읍시 충정로 145|063-532-9283|126.8638765|35.56506
생고기제작소|포항양덕점|경상북도 포항시 북구 장량로 206|054-255-3410|129.4029182|36.0815638
생고기제작소|대전유성상대점|대전광역시 유성구 상대동로36번길 61-8|042-825-4412|127.3393083|36.3476374
생고기제작소|망원점|서울특별시 마포구 망원2동 478-17|02-333-0307|126.9062074|37.5599709
생고기제작소|울산 - 성남점|울산광역시 중구 성남동 224-4|052-211-1933|129.3185145|35.5542369
생고기제작소|포항북구점|경상북도 포항시 북구 두호동 1096|054-242-5382|129.3725836|36.0679912
생고기제작소|화성시청점|경기도 화성시 역골로 6|031-356-0363|126.8290489|37.2008321
생고기제작소|부산 해운대점|부산광역시 해운대구 좌동 998-7|051-701-8008|129.1747046|35.1725331
생고기제작소|신제주점|제주특별자치도 제주시 신광로 45|064-712-9655|126.490277|33.4879763
생고기제작소|인천용현점|인천광역시 미추홀구 인주대로 174|032-876-6092|126.656149|37.4556166
생고기제작소|이천창전점|경기도 이천시 영창로 242|031-638-0829|127.4494994|37.2804096
