NAME|BRANCH|ADDR|TELL|TIME
유가네닭갈비|개봉점(예정)|서울 구로구 개봉동 278-25 ||
유가네닭갈비|대구시지점(예정)|대구 수성구 신매로19길 72 (신매동) 2층||
유가네닭갈비|단대오거리점|경기 성남시 중원구 희망로 448 (금광동) 2층 유가네닭갈비 단대오거리점|031-735-0010|11:00~22:00
유가네닭갈비|봉담CGV점|경기 화성시 봉담읍 동화길 51 (동화리) 1층 유가네닭갈비 봉담CGV점|031-227-2982|11:00~23:00
유가네닭갈비|구미산동점|경북 구미시 산동면 신당1로3길 17-3 (신당리) 2층 유가네닭갈비 구미산동점|054-604-2853|11:00~22:00
유가네닭갈비|의왕점(배달,포장전문)|경기 의왕시 포일동 505-117 |031-421-2299|
유가네닭갈비|김해부원점|경남 김해시 호계로463번길 21 (부원동) 1층 유가네닭갈비 김해부원점|055-335-9787|11:00~22:00
유가네닭갈비|제천점|충북 제천시 죽하로15길 28 (장락동) 유가네닭갈비 제천점|043-653-5592|11:00~22:00
유가네닭갈비|범계역점|경기 안양시 동안구 평촌대로223번길 31 (호계동, 동안상가) 203호 유가네닭갈비 범계역점|031-387-0205|10:00~22:30 *last order 21:30
유가네닭갈비|강릉유천점|강원 강릉시 선수촌로 72 (홍제동) 1층 유가네닭갈비 강릉유천점|070-7543-6678|11:00~22:00
유가네닭갈비|울산옥동점|울산 남구 옥동 264-2 유가네닭갈비 울산옥동점|052-708-5566|11:00~22:00
유가네닭갈비|오창호수공원점|충북 청주시 청원구 오창읍 중심상업1로 20 (양청리) 2층 유가네닭갈비 오창호수공원점|043-215-8604|11:00~22:00
유가네닭갈비|창원반송점|경남 창원시 성산구 원이대로473번길 9 (반림동, 노블파크아파트) 210호 유가네닭갈비 창원반송점|055-609-0282|11:00~22:00
유가네닭갈비|화정역점|경기 고양시 덕양구 화신로272번길 30 (화정동) 2층 유가네닭갈비 화정역점|031-979-9281|11:00~01:00
유가네닭갈비|하늘도시점|인천 중구 중산동 1873-3 스타타워 2층 204호|032-752-8787|11:00~22:00
유가네닭갈비|대구율하점|대구 동구 율하동 1445 2층 유가네 대구율하점|053-710-7578|11:00~22:00
유가네닭갈비|김해주촌점|경남 김해시 주촌면 천곡리 1381-14 1층 유가네닭갈비 김해주촌점|055-321-0130|11:00~22:00
유가네닭갈비|부산용호점|부산 남구 용호동 395-7 2층 유가네닭갈비 부산용호점|051-627-0316|11:00~22:00
유가네닭갈비|한티역점|서울 강남구 대치동 936 2층 4호 유가네닭갈비 한티역점|02-568-9280|11:00~23:00
유가네닭갈비|용인동백점|경기 용인시 기흥구 중동 832-1 207호 유가네닭갈비 용인동백점|031-283-3913|11:00~22:00
유가네닭갈비|인천동춘점|인천 연수구 동춘동 934-2 2층 유가네닭갈비 인천동춘점|070-7543-8605|11:00~23:00
유가네닭갈비|천안신부점|충남 천안시 동남구 신부동 458-12 유가네닭갈비 천안신부점|041-564-9293|11:00~22:00
유가네닭갈비|운서역점|인천 중구 운서동 2802-1 유가네닭갈비 운서역점|032-751-9255|11:00~22:00
유가네닭갈비|범일역점|부산 동구 범일동 833-25 2층 유가네닭갈비 부산범일점|051-633-7942|11:00~22:00 *매주 일요일 정기휴무
유가네닭갈비|경산하양점|경북 경산시 하양읍 금락리 131-30 2층 유가네닭갈비 경산하양점|053-856-3883|11:00~22:00
유가네닭갈비|진해석동점|경남 창원시 진해구 석동 543-2 1층 유가네닭갈비 진해석동점|055-545-9266|11:00~22:00
유가네닭갈비|울산언양점|울산 울주군 언양읍 동부리 377-6 1층 유가네닭갈비 울산언양점|052-254-3111|11:00~22:00
유가네닭갈비|낙성대역점|서울 관악구 봉천동 1660-1 1층 유가네닭갈비 낙성대역점|02-883-0099|11:00~22:00
유가네닭갈비|인천연수점|인천 연수구 연수동 598-11 유가네닭갈비 인천연수점|032-819-2151|11:00~23:00
유가네닭갈비|부산역점|부산 동구 초량동 486-1 1층 유가네닭갈비 부산역점|051-462-7685|11:00~22:00
유가네닭갈비|오포양벌점|경기 광주시 오포읍 양벌리 954-1 1층 유가네닭갈비 오포양벌점|031-767-9222|11:00~22:00
유가네닭갈비|부산남천점|부산 수영구 남천동 14-2 2층, 유가네닭갈비 부산남천점|051-710-3232|11:00~22:00
유가네닭갈비|김포구래점|경기 김포시 구래동 6882-17 서경프라자 201호|031-988-9495|am 11:00 ~ pm 11:00
유가네닭갈비|김천혁신도시점|경북 김천시 율곡동 783 유가네 김천혁신도시점|054-430-9233|11:00~22:00 *매주 화요일 정기휴무
유가네닭갈비|화성남양점|경기 화성시 남양읍 남양리 2230-6 107호~109호 유가네 화성남양점|031-356-0529|11:00~22:00
유가네닭갈비|제주동홍점|제주특별자치도 서귀포시 동홍동 422-1 유가네닭갈비 제주동홍점|064-762-8883|11:00~23:00
유가네닭갈비|광명역점|경기 광명시 일직동 515 B동 122호|02-898-8734|11:00~23:00
유가네닭갈비|동탄카림애비뉴점|경기 화성시 청계동 536 2042, 2043호 유가네닭갈비 동탄카림애비뉴점|031-8077-4712|11:00~23:00
유가네닭갈비|양주옥정점|경기 양주시 옥정동 963-14 센타프라자 1층 유가네닭갈비 양주옥정점|031-866-1204|11:00~22:00
유가네닭갈비|미사역점|경기 하남시 망월동 1093 경서타워 205호 유가네닭갈비 미사역점|031-792-6121|11:00~22:00
유가네닭갈비|안성아양점|경기 안성시 옥산동 598 해천프라자 202호 유가네닭갈비 안성아양점|031-676-6292|11:00~22:00
유가네닭갈비|대연점|부산 남구 대연동 1747-3 2층 유가네닭갈비 대연점|070-8886-0741|11:00~23:00
유가네닭갈비|진해장천점|경남 창원시 진해구 장천동 422-6 이엠시티빌딩 2층 203호|055-546-2080|11:00~22:00 *매주 화요일 정기휴무
유가네닭갈비|태릉묵동점|서울 중랑구 묵동 234-15 2층 유가네닭갈비 태릉묵동점|02-976-9426|11:00~22:00
유가네닭갈비|부산구서점|부산 금정구 구서동 415-112 2층 유가네닭갈비 부산구서점|051-513-5818|11:00~22:00
유가네닭갈비|평택안중점|경기 평택시 안중읍 현화리 858-7 1층 유가네닭갈비 안중점|031-686-6495|11:00~22:00
유가네닭갈비|대구현풍점|대구 달성군 유가읍 봉리 610-1 유가네닭갈비 대구현풍점|053-616-9233|11:00~22:00 *매주 화요일 정기휴무
유가네닭갈비|수원역 2호점|경기 수원시 팔달구 매산로1가 13 유가네닭갈비 수원역 2호점|031-245-5533|11:00~23:00
유가네닭갈비|거제수월점|경남 거제시 수월동 1124-6 1층 유가네닭갈비|055-633-6798|11:00~22:00
유가네닭갈비|거제고현점|경남 거제시 고현동 970-18 1층 유가네닭갈비|055-635-2019|11:00~22:00
유가네닭갈비|위례신도시점|서울 송파구 장지동 896 상가동 111호 유가네닭갈비 위례신도시점|02-400-8007|11:00~22:00
유가네닭갈비|정왕점|경기 시흥시 정왕동 1737-17 2층 유가네닭갈비 정왕점|031-499-0205|11:00~22:00
유가네닭갈비|경주동국대점|경북 경주시 석장동 872-1 유가네닭갈비 경주동국대점|054-777-2253|11:00~22:00
유가네닭갈비|일산후곡점|경기 고양시 일산서구 일산동 1084 1층 유가네닭갈비 일산후곡점|031-915-5118|11:00~22:00
유가네닭갈비|대학로점|서울 종로구 동숭동 1-76 1층 유가네닭갈비 대학로점|02-743-7177|11:00~23:00 *브레이크 타임 15:00~17:00 *라스트 오더 22:00
유가네닭갈비|창원도계점|경남 창원시 의창구 도계동 412-6 101호 유가네 창원도계점|055-262-8250|11:00~22:00
유가네닭갈비|함안점|경남 함안군 가야읍 도항리 430-3 유가네닭갈비 함안점|055-582-6665|11:00~22:00 *매월 1, 3주차 화요일 휴무
유가네닭갈비|만수향촌점|인천 남동구 만수동 1120-2 101호, 102호(만수동, 새롬프라자)|032-461-5333|11:00~22:00
유가네닭갈비|배곧신도시점|경기 시흥시 정왕동 2515-1 2층 유가네닭갈비|031-504-8998|11:00~22:00
유가네닭갈비|거제아주점|경남 거제시 아주동 1684-10 보우빌딩 101호 유가네닭갈비|055-681-8296|11:00~22:00
유가네닭갈비|모다펜타포트점|충남 천안시 서북구 불당동 1289 모다아울렛 펜타포트 6층|070-7627-4540|11:00~22:00
유가네닭갈비|호매실점|경기 수원시 권선구 금곡동 1114 딜라이트 타워 1차 202호 유가네닭갈비|031-294-4910|11:00~23:00
유가네닭갈비|동해점|강원 동해시 천곡동 850 유가네닭갈비 동해|033-532-9285|11:00~22:00
유가네닭갈비|부산송도점|부산 서구 암남동 144-2 2층 유가네닭갈비 부산송도점|051-253-9992|11:00~22:00
유가네닭갈비|신재송점|부산 해운대구 재송동 1061-7 2층 일부호(재송동)|051-783-8777 |11:00~22:00 *매주 목요일 정기휴무
