NAME|BRANCH|ADDR|TELL
치킨매니아|망원점|서울 마포구 망원로 94 (망원동) |02-332-9981
치킨매니아|양학이동점|경북 포항시 남구 포스코대로 145 (이동) |054-277-9434
치킨매니아|부암점|부산 부산진구 동평로 173 (부암동, 협성휴포레시티즌파크아파트) 301동 지하3층 113호|051-804-2227
치킨매니아|만수점|인천 남동구 만수서로 87 (만수동) 2층 21호|032-466-8455
치킨매니아|계명대점|대구 달서구 계대동문로 5 (신당동) 4층|053-588-7999
치킨매니아|상주점|경북 상주시 왕산로 65 (남성동) |054-533-5700
치킨매니아|죽림점|경남 통영시 광도면 신죽2길 1 (죽림리) |055-642-9898
치킨매니아|나주혁신점|전남 나주시 그린로 341 (빛가람동) 106호(빛가람동, 토담빌딩)|061-335-8292
치킨매니아|원동점|경기 오산시 경기대로 207-15 (원동) 1층 101호|031-373-0420
치킨매니아|화순점|전남 화순군 화순읍 대리길 34 (대리) |061-375-8881
치킨매니아|유한대점|경기 부천시 경인로 605 (괴안동, 이편한세상 온수역) 상가동 B110호(괴안동, 이편한세상 온수역)|032-341-3969
치킨매니아|구로가산점|서울 구로구 도림로10길 14 (구로동) 1층|02-855-9394
치킨매니아|강화점|인천 강화군 강화읍 강화대로 415 (신문리, 삼성관광) |032-933-2082
치킨매니아|중방점|경북 경산시 중앙로14길 8-1 (중방동) 102호|053-816-0047
치킨매니아|수송점|전북 군산시 수송동 68-20 |063-467-9288
치킨매니아|고잔점|경기 안산시 단원구 광덕3로 217 (고잔동) |031-403-0924
치킨매니아|하남미사점|경기 하남시 미사강변대로 38 (풍산동) 하남위너스프라자 210호|031-793-5863
치킨매니아|언양점|울산 울주군 언양읍 읍성로 61 (동부리) |052-262-2640
치킨매니아|국민대점|서울 성북구 정릉로10길 31 (정릉동) |02-6368-7762
치킨매니아|감정점|경기 김포시 감정로 6 (감정동, 성운코아빌딩) 108호 |031-988-7835
치킨매니아|흥업점|강원 원주시 흥업면 세동길 10-22 (매지리) |033-765-5710
치킨매니아|은행점|경기 시흥시 대은로104번길 10 (은행동, 윤희빌딩) 1층|031-312-5989
치킨매니아|서천점|충남 서천군 서천읍 사곡로 12-16 (사곡리, 신영골든빌아파트) |0419536999
치킨매니아|개신사직점|충북 청주시 서원구 모충로25번길 23 (개신동, 대광빌딩) 1층|043-263-2082
치킨매니아|안양1호점|경기 안양시 만안구 태평로60번길 16 (안양동, 한승미메이드 아파트) 가동 1층 103호|031-474-9373
치킨매니아|효자점|전북 전주시 완산구 후곡길 23-7 (효자동2가) |063-228-0906
치킨매니아|연수함박점|인천 연수구 함박로 11 (연수동) 1층 |032-821-9992
치킨매니아|호평점|경기 남양주시 늘을3로25번길 18-13 (호평동) 101호 |031-591-0686
치킨매니아|청학점|부산 영도구 태종로 428 (청학동, 한라청학아파트) 상가동 1층 102호|051-412-9418
치킨매니아|삼산점|울산 남구 돋질로251번길 7 (달동) 1층|052-975-5252
치킨매니아|신안평거점|경남 진주시 진양호로 386 (신안동) 1층|055-746-9422
치킨매니아|약사점|울산 중구 평산로 34-1 (약사동) 101호|052-221-1393
치킨매니아|퇴계점|강원 춘천시 안마산로 115 (퇴계동) 이편한세상 춘천한숲시티상가 A동 1층A1-102,103호|033-253-7262
치킨매니아|경주황성점|경북 경주시 용담로104번길 19-7 (황성동) |054-741-2346
치킨매니아|김제점|전북 김제시 향교길 179 (서암동) |063-543-6640
치킨매니아|영주점|경북 영주시 대동로31번길 16 (가흥동) |054-632-6677
치킨매니아|영종하늘도시점|인천 중구 하늘달빛로 95 (중산동, 영종신명스카이뷰주얼리) 상가2동 B104호|032-751-9995
치킨매니아|삼방점|경남 김해시 삼안로 223-1 (삼방동) 1층|055-337-8191
치킨매니아|동의대점|부산 부산진구 가야대로552번길 133 (가야동) |051-895-9025
치킨매니아|단관점|강원 원주시 단구로 414 (단구동, 청솔4차아파트) 상가동 109호|033-735-9282
치킨매니아|동탄호수공원점|경기 화성시 동탄순환대로10길 88 (산척동, 레이크힐 반도유보라 아이비파크 10.2) 3627동 1층 141~143호|031-372-3762
치킨매니아|세교점|경기 오산시 경기대로761번길 10 (세교동, 행복주택) 상가 101호|031-376-4447
치킨매니아|내포신도시점|충남 예산군 삽교읍 청사로 225 (목리) 1층 114호(엔젤스타워2차)|041-337-8277
