NAME|BRANCH|ADDR|TELL
푸라닭치킨|가평설악점|경기 가평군 설악면 신천중앙로35번길 55 (신천리 391-7)|031-585-9206
푸라닭치킨|갈현점|서울특별시 은평구 갈현로 209(갈현동 505-13 1층 3호)|02-356-9207
푸라닭치킨|강릉교동점|강원도 강릉시 하슬라로232번길 25-3(교동 1806-10)|033-921-9207
푸라닭치킨|강릉성덕입암점|강원 강릉시 입암로 33(입암동 407)|033-647-9206
푸라닭치킨|강릉유천점|강원 강릉시 선수촌로 70 (홍제동 1031-3)|033-648-9206
푸라닭치킨|강릉포남점|강원 강릉시 강릉대로419번길 3|033-922-9207
푸라닭치킨|강원화천점|강원도 화천군 화천읍 중앙로2길 9(하리 43-44)|033-441-9206
푸라닭치킨|개봉1호점|서울특별시 구로구 경인로 31번길 68(개봉동)|02-2611-1519
푸라닭치킨|거제고현점|경남 거제시 거제중앙로 1836 (고현동 234-3 1층)|055-636-9206
푸라닭치킨|거제아주점|경남 거제시 아주1로3길 33-1(아주동 1699-4)|055-681-9202
푸라닭치킨|거제옥포점|경남 거제시 옥포성안로 58(옥포동 580-1)|055-688-9206
푸라닭치킨|경남거창점|경남 거창군 거창읍 거열로 5길 5 (상림리 794-3 1층)|055-944-9206
푸라닭치킨|경남고성점|경상남도 고성군 고성읍 남포로 10 101호|055-673-9207
푸라닭치킨|경남남해점|경남 남해군 남해읍 화전로78번가길 21 (북변리 217-7)|055-862-9888
푸라닭치킨|경남밀양점|경남 밀양시 미리벌중앙로3길 4|055-352-9206
푸라닭치킨|경남사천점|경상남도 사천시 정동면 진삼로 1394-1|055-855-9925
푸라닭치킨|경남삼천포점|경상남도 사천시 숲뫼길 84(향촌동)|055-835-9298
푸라닭치킨|경남함양점|경상남도 함양군 함양읍 함양로 1116|055-963-9206
푸라닭치킨|경북문경점|경북 문경시 매봉2길 23-20(모전동 880)|054-553-9206
푸라닭치킨|경북신도청점|경북 예천군 호명면 양지로 17|054-654-9206
푸라닭치킨|경북영주점|경북 영주시 대동로13번길 2-33 (가흥동 1624-1)|054-632-9206
푸라닭치킨|경북영천점|경상북도 영천시 망정1길 200|054-336-9206
푸라닭치킨|경북왜관점|경상북도 칠곡군 왜관읍 중앙로 65|054-921-9208
푸라닭치킨|경산사동계양점|경북 경산시 원효로32길 42(계양동 688-3)|053-818-9206
푸라닭치킨|경산영남대점|경북 경산시 압량읍 압독3로 2 (신대리 421)|053-812-9206
푸라닭치킨|경산옥산정평점|경북 경산시 강변서로51길 22 (정평동 230-34)|053-811-9206
푸라닭치킨|경산하양점|경북 경산시 하양읍 대경로 661-2(금락리 116-349)|053-853-9206
푸라닭치킨|경주성건점|경북 경주시 금성로247번길 26|054-774-9206
푸라닭치킨|경주황성점|경상북도 경주시 유림로 21|054-775-9206
푸라닭치킨|경희대점| 서울 동대문구 회기로 129-1(회기동 60-57)|02-965-9206
푸라닭치킨|고덕점|서울 강동구 아리수로76길 46(고덕동 259-12)|02-426-9206
푸라닭치킨|고양원당점|경기 고양시 덕양구 호국로 808(성사동 513-3)|031-966-9205
푸라닭치킨|고양원흥점|경기 고양시 덕양구 원흥5로 25(원흥동 630)|031-964-9206
푸라닭치킨|공덕점|서울 마포구 마포대로24길 4 (아현동 801 1층 101호)|02-363-9206
푸라닭치킨|공릉점|서울특별시 노원구 공릉로34길 118(공릉동 754)|02-972-9206
푸라닭치킨|광명소하점|경기 광명시 하안로 108(소하동 1365 1층 115호)|02-897-9206
푸라닭치킨|광명역점|경기 광명시 일직로 72(일직동 515)|02-897-9207
푸라닭치킨|광명하안점|경기도 광명시 안재로 2번길 17|02-899-9206
푸라닭치킨|광양중마점|전남 광양시 중마용소2길 36|061-794-9206
푸라닭치킨|광장점|서울 광진구 광나루로 635(광장동 484)|02-2201-9206
푸라닭치킨|광주경안점|경기 광주시 중앙로145번길 3 (지번경안동 73-22 1층)|031-767-9206
푸라닭치킨|광주곤지암점|경기도 광주시 곤지암읍 곤지암로 53 (곤지암리 433-2 1층)|031-766-9206
푸라닭치킨|광주광천점|광주 서구 내방로 355(화정동 23-257)|062-366-9206
푸라닭치킨|광주금호점|광주 서구 운천로17번길 4-13 (금호동 752-3)|062-382-9206
푸라닭치킨|광주두암점|광주광역시 북구 군왕로 147-2 (두암동 825-8)|062-263-9206
푸라닭치킨|광주매곡오치점|광주광역시 북구 서하로 97, 대광로제비앙1층 125호|062-572-9206
푸라닭치킨|광주문흥점|광주 북구 대천로 124-1(문흥동 1001-1)|062-251-9206
푸라닭치킨|광주백운점|광주 남구 중앙로 69 (서동 70-6)|062-651-9206
푸라닭치킨|광주봉선점|광주 남구 봉선중앙로 105 (봉선동 985)|062-675-9206
푸라닭치킨|광주상무점|광주 서구 시청로50번길 3 , 108호|062-371-3382
푸라닭치킨|광주수완점|광주 광산구 풍영로200번길 63 (장덕동 1675)|062-956-9206
푸라닭치킨|광주신창신가점|광주광역시 광산구 신창동 1199-10|062-953-7792
푸라닭치킨|광주신현점|경기 광주시 오포읍 능평로 63(능평리 340-4 지 1층)|031-713-9206
푸라닭치킨|광주양산점|광주 북구 양산택지로 18 (양산동 1026)|062-574-9206
푸라닭치킨|광주오포점|경기도 광주시 오포읍 양벌로 195-30 (양벌리 326)|031-797-9206
푸라닭치킨|광주용봉점|광주광역시 북구 용봉로 48-1 101호|062-511-9206
푸라닭치킨|광주우산소촌점|광주광역시 광산구 우산로95번길 44(우산동 1109-1)|062-941-9206
푸라닭치킨|광주운남점|광주 광산구 목련로153번길 79 (운남동 785-3 1층)|062-952-9206
푸라닭치킨|광주운암점|광주 북구 동운로213번길 27-1|062-522-9206
푸라닭치킨|광주일곡점|광주광역시 북구 설죽로 518-8(일곡동 828-8)|062-576-9206
푸라닭치킨|광주주월점|광주 남구 회서로 21(주월동 491-34)|062-654-9206
푸라닭치킨|광주진월점|광주 남구 서문대로663번길 10 (진월동 414-18)|062-652-9206
푸라닭치킨|광주첨단점|광주광역시 광산구 월계로 150번길 27, 1층(월계동)|062-974-9996
푸라닭치킨|광주태전지구점|경기 광주시 순암로 63 (장지동 344-5 1층)|031-761-9208
푸라닭치킨|광주풍암점|광주광역시 서구 풍암운리로 41번길 2, 1층|062-453-9206
푸라닭치킨|광주하남CGV점|광주 광산구 용아로400번길 30 (하남동 832)|062-959-9206
푸라닭치킨|광주학동점|광주광역시 동구 서남로 32|062-233-9206
푸라닭치킨|광주화정점|광주 서구 화운로125번길 1|062-372-9206
푸라닭치킨|구로3동점|서울 구로구 디지털로27길 51(가리봉동 115-111)|02-851-9206
푸라닭치킨|구로5동점|서울 구로구 구로중앙로28길 73 (구로동 110-5)|02-867-9206
푸라닭치킨|구리수택점|경기도 구리시 이문안로83번길 16-3 (수택동 444-13)|031-567-9206
푸라닭치킨|구리인창점|경기도 구리시 동구릉로53번길 4(인창동 543 105호)|031-510-9207
푸라닭치킨|구미도량봉곡점|경북 구미시 도봉로 76-53(도량동 227-1)|054-451-9206
푸라닭치킨|구미상모사곡점|경북 구미시 상사동로 111(사곡동 701-5)|054-463-9206
푸라닭치킨|구미옥계점|경북 구미시 산호대로35길 14 (옥계동 795-3)|054-474-9206
푸라닭치킨|구미진평점|경북 구미시 인동32길 22-32 (진평동 87-18)|054-472-9206
푸라닭치킨|구미형곡점|경상북도 구미시 형곡동 경은로 76|054-454-6544
푸라닭치킨|군산나운점|전라북도 군산시 나운로 56 (전라북도 군산시 나운동 817-6)|063-466-9207
푸라닭치킨|군산수송점|수송동 847-4 1층 1호 (수송동)​|063-466-9206
푸라닭치킨|군산조촌점|전북 군산시 궁포1로 24-3, 조촌동 2-15 102호 (조촌동, 세종빌딩)|063-442-9206
푸라닭치킨|군포당동점|경기 군포시 금당로17번길 14(당동 951-2)|031-393-9206
푸라닭치킨|군포산본점|경기도 군포시 금산로 62번길 28|031-399-9206
푸라닭치킨|길동점|서울특별시 강동구 천호대로175길 14 (길동 456-4)|02-488-9206
푸라닭치킨|김천신음점|경상북도 김천시 신앙1길 12|054-436-9290
푸라닭치킨|김포1호점|경기도 김포시 봉화로163번길 23|031-984-9207
푸라닭치킨|김포구래점|경기 김포시 김포한강11로 288-32|031-986-9206
푸라닭치킨|김포운양점|경기 김포시 김포한강1로 238 (운양동 1340-1)|031-987-9206
푸라닭치킨|김포장기점|경기 김포시 김포한강1로78번길 6-23(장기동 1429)|031-989-9207
푸라닭치킨|김포통진점|경기 김포시 통진읍 서암로84번길 3(서암리 730-4)|031-981-9208
푸라닭치킨|김포풍무점|경기 김포시 양도로19번길 23 (풍무동 209)|031-986-9207
푸라닭치킨|김해내외동점|경상남도 김해시 함박로31번길 24|055-323-9281
푸라닭치킨|김해삼계점|경남 김해시 가야로157번길 5-11|055-321-9207
푸라닭치킨|김해삼안점|경남 김해시 삼안로 226|055-313-9206
푸라닭치킨|김해삼정점|경남 김해시 김해대로2491번길 21 (삼정동 603-5)|055-326-9207
푸라닭치킨|김해율하점|경남 김해시 관동로27번길 64|055-336-9207
푸라닭치킨|김해장유점|경상남도 김해시 번화1로84번길 12, 101호|055-339-9592
푸라닭치킨|김해진영점|경상남도 김해시 진영읍 진영리 김해대로332번길 37-4 서원레온빌 2차 1층 103호|055-343-4560
푸라닭치킨|나주혁신도시점|전라남도 나주시 그린로 317-17 (빛가람동 331-1)|061-337-9206
푸라닭치킨|낙성대점|서울 관악구 남부순환로 1891(봉천동 1679-25)|02-883-9205
푸라닭치킨|남양주다산신도시점|경기 남양주시 다산중앙로82번길 49-49|031-566-9206
푸라닭치킨|남양주덕소점|경기 남양주시 와부읍 덕소로 73(덕소리 462-50)|031-577-9207
푸라닭치킨|남양주도농역점|경기 남양주시 미금로 239 (다산동 3198-68)|031-568-9206
푸라닭치킨|남양주마석점|경기 남양주시 화도읍 마석로 12-3(창현리 488-12)|031-591-9207
푸라닭치킨|남양주별내점|경기도 남양주시 두물로 39번길 20|031-571-1544
푸라닭치킨|남양주오남점|경기도 남양주시 오남읍 진건오남로 511(오남리)|031-529-9658
푸라닭치킨|남양주진접지구점|경기 남양주시 진접읍 해밀예당1로 30-25 (금곡리 1083-5)|031-528-9206
푸라닭치킨|남양주평내점|경기 남양주시 경춘로1256번길 25(평내동 580-1)|031-592-9207
푸라닭치킨|남양주호평점|경기도 남양주시 호평로67번길 11, (호평동 168-18 1층 102,103호)|031-595-9206
푸라닭치킨|논산연무대점|충남 논산시 연무읍 안심로 86(마산리 529-38)|041-742-9206
푸라닭치킨|논현점|서울 강남구 언주로 604(논현동 276-1)|02-515-9206
푸라닭치킨|답십리점|서울 동대문구 사가정로 31-1(답십리동 467-46)|02-2215-9206
푸라닭치킨|당산점|서울 영등포구 당산로41길 11(당산동4가 80)|02-2636-9206
푸라닭치킨|당진송악점|충남 당진시 송악읍 반촌로 70-17(기지시리 148)|041-352-9206
푸라닭치킨|대구광장점|대구광역시 서구 달구벌대로 1691 1층 107호 (내당동 463-62)|053-270-9208
푸라닭치킨|대구금호사수점|대구 북구 한강로6길 8-4|050-4566-6319
푸라닭치킨|대구남산대신점|대구광역시 중구 달구벌대로 1943, 102동 101호|053-254-9206
푸라닭치킨|대구다사점|대구 달성군 다사읍 죽곡1길 17 (죽곡리 811-1 102호)|053-588-9206
푸라닭치킨|대구대곡점|대구 달서구 한실로 73 (도원동 1432-5)|053-635-9206
푸라닭치킨|대구동천점|대구광역시 북구 동천로 128-15|504-307-6175
푸라닭치킨|대구범어점|대구 수성구 동대구로 278 (범어동 595-45 1층 101호)|053-744-9206
푸라닭치킨|대구복현점|대구 북구 경대로 141|053-939-9206
푸라닭치킨|대구본리점|대구광역시 달서구 와룡로 45(본동 737)|053-565-9206
푸라닭치킨|대구봉덕점|대구 남구 봉덕로 42-2(봉덕동 706-6 1층)|053-474-9206
푸라닭치킨|대구상인점|대구 달서구 월배로42길 34|053-292-9206
푸라닭치킨|대구성당점|대구 남구 대명복개로 30 (대명동 1596-9 1층)|053-657-9202
푸라닭치킨|대구성서쇼핑월드점|대구광역시 달서구 이곡서로 13, 1층|053-585-9206
푸라닭치킨|대구시지점|대구광역시 수성구 신매로 26 1층 (신매동 593-7)|053-792-9206
푸라닭치킨|대구안심점|대구 동구 동호로9길 14|053-965-9206
푸라닭치킨|대구연경지묘점|대구광역시 북구 연경중앙로 3(연경동 956-1 1층 101호)|053-985-9206
푸라닭치킨|대구옥포점|대구 달성군 옥포읍 돌미상업로 6(교항리 2934)|053-616-9206
푸라닭치킨|대구용산점|대구광역시 달서구 장산남로 33|053-525-9206
푸라닭치킨|대구율하점|대구 동구 율하동로17길 46 (율하동 997-2 1층)|053-964-9206
