nm|tel|addr|lat|lon
분당도담빌딩|['tel']|경기 성남시 분당구 황새울로 246|37.3803433010638|127.115358009505
분당프라자|['tel']|경기 성남시 분당구 돌마로 68|37.3496466239203|127.109548208072
도봉산|['tel']|서울 도봉구 도봉동 282-26|37.6876549307416|127.040712585566
김포우리병원|['tel']|경기 김포시 감암로|37.6323505|126.7104987
서울스퀘어|['tel']|서울 중구 한강대로 416|37.5555048939659|126.97375281464888
시그니쳐타워|['tel']|서울 중구 청계천로 100|37.56750131197485|126.98842276383319
제주시외버스터미널1|['tel']|제주특별자치도 제주시 서광로 174|33.49971312748025|126.51487295456404
일산우림로데오|['tel']|경기 고양시 일산동구 중앙로1275번길 38-10|37.65991544455422|126.7708932126609
대전성공빌딩|['tel']|대전 중구 계룡로 786|36.32889024068544|127.4041295150416
L7호텔강남|['tel']|서울 강남구 테헤란로 415|37.50579011971241|127.05154118051192
목동삼성화재빌딩|['tel']|서울 양천구 목동동로 233-3|37.527845856465845|126.87165443831279
이태원한남빌딩|['tel']|서울 용산구 이태원로 211|37.53498662196805|126.99727553023796
천안G스퀘어|['tel']|충남 천안시 불당동 1296번지|36.8001010016007|127.103418533969
부띠크모나코|['tel']|서울 서초구 서초대로 397|37.497433881377276|127.02451699074487
분당서현빌딩|['tel']|경기 성남시 분당구 황새울로 326|37.38513238312556|127.12186438605089
부평큐브타워|['tel']|인천 부평구 길주로 643|37.50722142482969|126.73419594443365
부평프라이디움빌딩|['tel']|인천 부평구 시장로 7|37.49217285541546|126.72397732269842
분당비전월드|['tel']|경기 성남시 분당구 서현로180번길 19|37.3873410718382|127.12246417904267
SC제일은행대구|['tel']|대구 중구 경상감영길 155|35.87257412696955|128.59606333841327
SC제일은행둔산|['tel']|대전 서구 둔산서로 79|36.35382265919913|127.38262729693609
하남경서타워|['tel']|경기 하남시 미사강변동로 127|37.566179613656544|127.19104583190706
대전빅플러스타워|['tel']|대전 동구 동서대로 1688|36.34885114817305|127.43743911665945
농협충북유통센터|['tel']|충북 청주시 상당구 무농정로 32|36.60481878317|127.50739384784686
화성세가프라자|['tel']|경기 화성시 동탄하나1길 47-7|37.21765964920402|127.05926272243138
별내백상앨리츠1|['tel']|경기 남양주시 별내중앙로 36-23|37.6464563215058|127.126196017773
당고개위|['tel']|서울 노원구 상계로 319|37.670691294680275|127.08092149781618
석계역|['tel']|서울 노원구 월계동 50-9|37.6152978|127.0631823
창동역(서)|['tel']|서울 도봉구 노해로65길 17-6|37.652250829604455|127.04586744499188
서울시티타워|['tel']|서울 중구 후암로 110|37.55430122616883|126.97404748302051
이대목동병원|['tel']|서울 양천구 안양천로 1071|37.536983023856585|126.88674595133647
부천가톨릭대|['tel']|경기 부천시 부일로663번길 23|37.48448548624632|126.80323772122996
오라카이인사동|['tel']|서울 종로구 인사동4길 18|37.572993668123154|126.98733519457703
안양세방글로벌|['tel']|경기 안양시 동안구 시민대로 277|37.39496663116969|126.9609663129305
광화문빌딩|['tel']|서울 종로구 세종대로23길 47|37.571387646127384|126.97369743497075
목동부영그린3|['tel']|서울 양천구 목동동로 411|37.536726308119135|126.88221148796141
대전노은역|['tel']|대전 유성구 노은동 903번지|36.374162655842|127.317562107323
대전메트로존|['tel']|대전 서구 둔산중로 38|36.34996156351398|127.3872472207455
조선일보사|['tel']|서울특별시 중구 세종대로 135|37.567913979307|126.976402252527
인천기독병원|['tel']|인천광역시 중구 답동로30번길 10|37.4711479733662|126.632086350121
청주성모병원|['tel']|충청북도 청주시 청원구 주성로 173-19|36.6738595253888|127.485562227184
티마크호텔명동|['tel']|서울 중구 충무로 15|37.562585812716705|126.99260228354844
수원역롯데몰|['tel']|경기 수원시 권선구 세화로 118|37.262881678591995|126.99606332498566
대전도안센트럴|['tel']|대전 유성구 계룡로132번길 10|36.352240680076946|127.34455872262703
을지입구패스트파이브|['tel']|서울 중구 남대문로9길 24|37.567139973786006|126.98113331641312
홈플러스인천논현|['tel']|인천 남동구 청능대로 596|37.40062316250819|126.72565066635063
신도림역|['tel']|서울 구로구 새말로 117-6|37.50744252379055|126.89226919698804
연수LF스퀘어|['tel']|인천광역시 연수구 청능대로23번길 11|37.418687983012|126.669108148626
마산보보스존|['tel']|경남 창원시 마산회원구 3-15대로 736|35.23753918842424|128.58244092533155
안산월드타워|['tel']|경기 안산시 단원구 신길로1길 10|37.330792349090956|126.78607756575343
포스코타워-송도|['tel']|인천 연수구 컨벤시아대로 153|37.3892164|126.6440468
봉화산역(남)|['tel']|서울 중랑구 신내동 647|37.6163898859996|127.09200002333
우리금융남산타워|['tel']|서울 중구 소공로 48|37.559824176981|126.9830728024469
HSBC빌딩|['tel']|서울 중구 칠패로 37|37.56009621238815|126.9730268496643
종로94빌딩|['tel']|서울 종로구 삼봉로 94|37.57183973676596|126.98223241701419
동덕여대|['tel']|서울 성북구 화랑로13길 59|37.605754672331585|127.04055692204071
서초윤일빌딩|['tel']|서울 서초구 효령로 336|37.486027807325655|127.02099004673215
선릉다봉타워|['tel']|서울 강남구 테헤란로 418|37.50509784790247|127.05222381227463
송파제일오피스텔|['tel']|서울 송파구 송파대로 260|37.49313829271266|127.11886438810707
안산MK주차타워|['tel']|경기 안산시 단원구 광덕2로 156-11|37.308853647537155|126.82782704141404
엑스골프장한평|['tel']|서울 성동구 자동차시장길 42|37.559808633743934|127.05572980766365
한신한진아파트|['tel']|서울 성북구 성북로4길 52|37.59507885533635|127.01228355404454
거제거붕백병원|['tel']|경남 거제시 계룡로5길 14|34.87365452472217|128.62562676429363
어반플레이스호텔강남|['tel']|서울 서초구 효령로77길 30|37.49170964275981|127.02911057368418
마제스타시티|['tel']|서울특별시 서초구 서초대로38길 12|37.4905021538527|127.005354115485
베스트웨스턴인천공항|['tel']|인천 중구 공항로424번길 48-27|37.43840719145929|126.45972338449752
동익드미라벨|['tel']|서울 강서구 마곡서로 101|37.56267051102515|126.82360462864068
삼성역WeWork빌딩|['tel']|서울 강남구 테헤란로 507|37.50766495319049|127.05772684147217
판교알파리움타워|['tel']|경기 성남시 분당구 판교역로 145|37.394519|127.1091318
인천메가스타영종|['tel']|인천 중구 신도시남로142번길 6|37.493419155631074|126.49149139077868
캠코양재타워|['tel']|서울 강남구 강남대로 262|37.48696198627081|127.03344609502346
대구두류지하|['tel']|대구 서구 달구벌대로 지하 1760|35.85807939540331|128.55712131336458
송도센트럴공원|['tel']|인천 연수구 센트럴로 229|37.3892955|126.6406282
구미순천향병원|['tel']|경북 구미시 1공단로 179|36.103136059144056|128.3827074782336
강남골든타워|['tel']|서울 강남구 삼성로 511|37.50766598381171|127.05557792002548
IFC서울|['tel']|서울특별시 영등포구 국제금융로 10|37.5250235583041|126.925898740744
경희궁의아침4단지|['tel']|서울 종로구 새문안로3길 23|37.572547794927374|126.97224354888206
청주지웰시티몰|['tel']|충북 청주시 흥덕구 대농로 17|36.642739573699394|127.42510384560586
성수우리W타워|['tel']|서울 성동구 성수2가 3동 277|37.5438826425218|127.055621767945
이대역예스에이피엠|['tel']|서울 서대문구 이화여대1길 10|37.55764654118001|126.9449101190351
센터마크호텔종로|['tel']|서울 종로구 인사동5길 38|37.572582437902135|126.9842109640222
인천진명스포아트|['tel']|인천 계양구 계양대로 37|37.52711627488967|126.72199781038532
AIA타워|['tel']|서울 중구 통일로2길 16|37.56075538143409|126.97149187246919
대전대|['tel']|대전 동구 대학로 62|36.33669454574633|127.45900185988219
인천문학경기장|['tel']|인천광역시 미추홀구 매소홀로 618|37.4354902709102|126.691844456381
대전한마음|['tel']|대전 중구 대흥동 204-1|36.3278195740032|127.424936493181
