NAME|BRANCH|ADDR|TELL
경인특장|서울특장|충북 청주시 흥덕구 향정동 43-2|043-276-0668
경인특장|전북특장|전북 전주시 덕진구 팔복동3가 26-1|063-214-7978
경인특장|부분종합정비|전남 목포시 산정동 1387-6|061-244-9110
경인특장|소양기공사|강원도 춘천시 근화동 730|033-254-4102
경인특장|신성카에어컨|강원도 춘천시 후평동 720-9|033-242-6800
경인특장|용인탑차냉동|경기도 용인시 기흥구 보정동 676|031-284-2369
경인특장|광림탑차|대전 대덕구 상서동 434|042-932-2566
경인특장|화성특장|경기도 양주시 덕정동 60-5|031-864-8180
경인특장|일산특장|경기도 고양시 일산 동구 설문동 489-1|031-975-6812
경인특장|신승자동차|강원도 원주시 관부면 서곡리 95-13|033-766-4115
경인특장|미래특장|경기도 시흥시 도창동 380-2|031-315-1709
경인특장|건양특장|경기도 수원시 영통구 원천동 378-2|031-217-8782
경인특장|원주특장|강원도 원주시 무실동 694-9|010-9039-7353
경인특장|현대냉동|서울 양천구 신월4동 412-4|02-2607-7905
경인특장|우림특장|전북 전주시 덕진구 팔복동3가 466-1|063-211-6400
경인특장|진명특장|경기도 평택시 가재동 323-4|031-611-1244
경인특장|붕붕카마스타|전북 군산시 미장동 59-54|063-452-9440
경인특장|경기특장|경기도 의왕시 상동 389번지|031-461-0188
경인특장|웰텍|전남 무안군 현경면 오류리 142|062-944-3990
경인특장|그린자동차|전남 목포시 오감동 788-30|061-282-0071
경인특장|코리아특장|충북 옥천구 양수리 60|043-731-8161
경인특장|미래특장|경기도 화성시 팔탄면 00리 57-1|031-354-8811
경인특장|항구탑차|경기도 의정부시 장암동 127|031-879-1882
경인특장|성문특장|충남 아산시 배방면 공수리 16-12|041-532-3790
경인특장|한라냉동|경기 하남시 광암동 300-8|02-431-0035
경인특장|동남모터스|대전 대덕구 오정동 410-10|042-633-6333
경인특장|차를좋아하는사람들|광주 북구 각화동 199-19|062-265-7066
경인특장|두원써모텍|경기 군포시 당정동 570|010-6613-0310
경인특장|태종산업|서울 성동구 마장동 797-1|02-2298-0404
경인특장|경인특장|인천 서구 왕길동 54-11|032-563-0303
경인특장|동진정비|경남 통영시 무전동 995-1|055-646-2525
경인특장|대형특장|경북 경주시 용강동 1071-6|054-776-7700
경인특장|삼일ERC|경북 포항시 남구 장흥동 590-1|054-285-3030~2
경인특장|조흥자동차|제주 화북1동 2133-1|064-722-2581
경인특장|협창공업사|제주 삼양1동 1529-1|064-722-5434
경인특장|스마일특장|경남 양산시 평산동 18-3|055-374-2400
경인특장|건륭특장|대구 서구 비산7동 2043-15|053-355-2755
경인특장|경남특장|경남 진주시 정촌면 예상리 28B 11L|055-757-1683
경인특장|탑월드|부산 사상구 감전동 163-1|051-313-5234
경인특장|현대특장|부산 해운대구 반여1동 1228-1|051-527-6060
경인특장|제일정비|대구 서구 비산7동 2028-46|053-355-8101
경인특장|대동특장|경남 김해시 대동면 조눌리 183-1|055-325-4341
경인특장|강동종합정비|경북 구미시 구평동 313-3|054-475-3000
경인특장|미르특장|경남 밀양시 부북면 전사포리 885-1|055-353-7800
경인특장|탑플렉스|경북 경산시 암량면 의송리 18번지|053-817-1400
경인특장|동명특장|강원도 강릉시 호남2동 448|033-653-4625
경인특장|상신냉동|경북 안동시 용상동 1293-4|054-821-5922
경인특장|이원특장|경남 창원시 마산회원구 내서읍 중리1128-5|055-232-4642
