DEPTH1,DEPTH2,CATEID,SORT
주유소,SK엔크린,50101,1
주유소,GS칼텍스,50102,1
주유소,현대오일뱅크,50103,1
주유소,S-OIL,50104,1
주유소,Nc-oil,50105,1
주유소,NH-OIL,50106,1
주유소,알뜰주유소,50107,1
LPG충전소,SK_LPG,50201,2
LPG충전소,GS_LPG,50202,2
LPG충전소,현대_LPG,50203,2
LPG충전소,S-OIL_LPG,50204,2
LPG충전소,E1_LPG,50205,2
은행,국민은행,120101,3
은행,우리은행,120102,3
은행,신한은행,120103,3
은행,KEB하나은행,120104,3
은행,기업은행,120105,3
은행,스탠다드차타드은행,120106,3
은행,한국씨티은행,120107,3
은행,KDB산업은행,120108,3
은행,농협(은행),120109,3
은행,수협,120110,3
은행,한국은행,120111,3
은행,한국수출입은행,120112,3
은행,부산은행,120113,3
은행,대구은행,120114,3
은행,경남은행,120115,3
은행,광주은행,120116,3
은행,전북은행,120117,3
은행,제주은행,120118,3
은행,HSBC,120119,3
은행,외국은행,120120,3
ATM,ATM기업은행,120701,4
ATM,ATM새마을금고,120702,4
ATM,ATM국민은행,120703,4
ATM,ATM농협,120704,4
ATM,ATM신한은행,120705,4
ATM,ATM우리은행,120706,4
ATM,ATM하나은행,120707,4
ATM,ATM신협,120708,4
ATM,ATM우체국,120709,4
ATM,ATM스탠다드차타드은행,120710,4
ATM,ATM대구은행,120711,4
ATM,ATM수협,120712,4
ATM,ATM부산은행,120713,4
ATM,ATM경남은행,120714,4
ATM,ATM한국씨티은행,120715,4
ATM,ATM광주은행,120716,4
ATM,ATM전북은행,120717,4
ATM,ATM제주은행,120718,4
ATM,ATM기타,120719,4
편의점,세븐일레븐,20101,5
편의점,GS25,20102,5
편의점,CU,20103,5
편의점,미니스톱,20104,5
편의점,CSPACE,20105,5
편의점,OK마트,20106,5
편의점,JOYMART,20107,5
편의점,CJ올리브영,20108,5
편의점,이마트24,20109,5
편의점,롭스,20110,5
편의점,랄라블라,20111,5
주차장,공영주차장,50601,6
주차장,일반주차장,50602,6
주차장,환승주차장,50603,6
주차장,공휴일허용주차장,50604,6
차량정비,현대직영,50401,7
차량정비,기아직영,50402,7
차량정비,쉐보레직영,50403,7
차량정비,쌍용직영,50404,7
차량정비,삼성직영,50405,7
차량정비,BMW직영,50406,7
차량정비,벤츠직영,50407,7
차량정비,토요타직영,50408,7
차량정비,렉서스직영,50409,7
차량정비,수입차직영,50410,7
차량정비,현대차협력,50411,7
차량정비,기아차협력,50412,7
차량정비,쉐보레협력,50413,7
차량정비,쌍용차협력,50414,7
차량정비,삼성차협력,50415,7
차량정비,타타대우정비,50416,7
차량정비,스피드메이트,50417,7
차량정비,LG오토오아시스,50418,7
차량정비,하이카,50419,7
차량정비,애니카,50420,7
차량정비,매직카,50421,7
차량정비,중한자동차서비스센터,50422,7
차량정비,볼보서비스센터,50423,7
차량정비,폭스바겐서비스센터,50424,7
차량정비,볼보트럭서비스센터,50425,7
차량정비,아우디서비스센터,50426,7
차량정비,페라리서비스센터,50427,7
차량정비,만트럭버스서비스센터,50428,7
차량정비,기타,50429,7
지하철역,지하철차량기지,80301,8
지하철역,서울1호선,80302,8
지하철역,서울2호선,80303,8
지하철역,서울3호선,80304,8
지하철역,서울4호선,80305,8
지하철역,서울5호선,80306,8
지하철역,서울6호선,80307,8
지하철역,서울7호선,80308,8
지하철역,서울8호선,80309,8
지하철역,서울9호선,80310,8
지하철역,경의중앙선,80311,8
지하철역,수인분당선,80312,8
지하철역,경원선,80313,8
지하철역,인천1호선,80314,8
지하철역,인천2호선,80315,8
지하철역,부산1호선,80316,8
지하철역,부산2호선,80317,8
지하철역,부산3호선,80318,8
지하철역,부산4호선,80319,8
지하철역,대구1호선,80320,8
지하철역,대구2호선,80321,8
지하철역,대구3호선,80322,8
지하철역,광주1호선,80323,8
지하철역,대전1호선,80324,8
지하철역,공항철도,80325,8
지하철역,경춘선,80326,8
지하철역,신분당선,80327,8
지하철역,경강선,80329,8
지하철역,동해선,80330,8
지하철역,서해선(소사-원시),80331,8
병원/의원,종합병원,70101,9
병원/의원,한방종합병원,70102,9
병원/의원,일반병원,70103,9
병원/의원,한방일반병원,70104,9
병원/의원,내과/소아과/가정의학과,70105,9
병원/의원,치과,70106,9
병원/의원,성형외과,70107,9
병원/의원,피부과,70108,9
병원/의원,안과,70109,9
병원/의원,정형외과,70110,9
병원/의원,외과/흉부외과/신경외과,70111,9
병원/의원,재활의학과,70112,9
병원/의원,산부인과,70113,9
병원/의원,이비인후과,70114,9
병원/의원,비뇨기과,70115,9
병원/의원,정신과/신경정신과,70116,9
병원/의원,한의원,70117,9
약국,일반약국,70201,10
약국,온누리약국,70202,10
약국,메디팜약국,70203,10
약국,옵티마약국,70204,10
약국,한약국/한약방,70205,10
패밀리레스토랑,아웃백스테이크하우스,10101,11
패밀리레스토랑,T.G.I.프라이데이스,10102,11
