scode,code1,code2,분류,심볼명,Oid,변경내역
101,1,1,관공서,시청.bmp,1,
102,1,2,관공서,도청.bmp,2,
103,1,3,관공서,군청.bmp,3,
104,1,4,관공서,구청.bmp,4,
105,1,5,관공서,읍사무소.bmp,5,
106,1,6,관공서,면사무소.bmp,6,
107,1,7,관공서,주민센터.bmp,7,
108,1,8,관공서,리사무소.bmp,8,
109,1,9,관공서,법원.bmp,9,
110,1,10,관공서,검찰청.bmp,10,
111,1,11,관공서,경찰서.bmp,11,
112,1,12,관공서,파출소.bmp,12,
113,1,13,관공서,소방서.bmp,13,
114,1,14,관공서,우체국.bmp,14,
115,1,15,관공서,대사관.bmp,15,
116,1,16,관공서,국회.bmp,16,
117,1,17,관공서,세무서.bmp,17,
118,1,18,관공서,등기소.bmp,18,
119,1,19,관공서,공단공사.bmp,19,
120,1,20,관공서,전화국.bmp,20,
122,1,22,관공서,교육청.bmp,22,
201,2,1,학교/교육,일반대학교.bmp,23,
202,2,2,학교/교육,전문대학교.bmp,24,
203,2,3,학교/교육,초등학교.bmp,25,
204,2,4,학교/교육,중학교.bmp,26,
205,2,5,학교/교육,고등학교.bmp,27,
206,2,6,학교/교육,기타학교.bmp,28,
207,2,7,학교/교육,운전학원.bmp,29,
208,2,8,학교/교육,면허시험장.bmp,30,
210,2,10,학교/교육,유치원.bmp,32,
301,3,1,병원/의료시설,종합병원.bmp,33,
302,3,2,병원/의료시설,대형병원.bmp,34,
303,3,3,병원/의료시설,한방병원.bmp,35,
304,3,4,병원/의료시설,일반병원.bmp,36,
305,3,5,병원/의료시설,한의원.bmp,37,
306,3,6,병원/의료시설,약국.bmp,38,
307,3,7,병원/의료시설,한약방.bmp,39,
308,3,8,병원/의료시설,보건소.bmp,40,
309,3,9,병원/의료시설,동물병원.bmp,41,
401,4,1,금융,국민은행.bmp,42,
402,4,2,금융,우리은행.bmp,43,
403,4,3,금융,제일은행.bmp,44,
404,4,4,금융,신한은행.bmp,45,
405,4,5,금융,하나은행.bmp,46,
406,4,6,금융,한국씨티은행.bmp,47,
408,4,8,금융,기업은행.bmp,49,
