tool_name|month|week|dayofweek|day|time
01_1_오피넷.exe||1/3주|수||09:00
01_2_주유소판매가격.exe||1/3주|수||09:00
01_3_유록스.exe||1/3주|수||09:00
02_1_환경부전기차.exe||1/3주|수||09:00
02_2_테슬라전기차.exe||1/3주|수||09:00
03_1_S-OIL.exe||1/3주|수||09:00
03_2_SK엔크린.exe||1/3주|수||09:00
03_3_현대오일뱅크.exe||1/3주|수||09:00
03_4_GS칼텍스.exe||1/3주|수||09:00
04_1_고캠핑.exe||1/3주|수||09:00
04_2_민박업소.exe||1/3주|수||09:00
05_1_Gs_fresh(휴무일).exe|매월|||1|12:00
05_2_롯데마트(휴무일).exe|매월|||1|12:00
05_3_이마트정보(휴무일).exe|매월|||1|12:00
05_4_홈플러스정보(휴무일).exe|매월|||1|12:00
06_1_전국학교.exe||1주|수||09:00
06_2_신설학교.exe||1주|수||09:00
06_3_폐교학교.exe||1주|수||09:00
07_1_GS24주차장.exe||1주|수||09:00
09_1_건강심사평가원_병원.exe||2주|수||09:00
09_2_건강심사평가원_약국.exe||2주|수||09:00
10_1_알리오플러스.exe||2주|수||09:00
11_1_어린이집기본정보.exe||3주|수||09:00
11_2_어린이집상세정보.exe||3주|수||09:00
11_3_어린이집_신규.exe||3주|수||09:00
11_4_어린이집_폐지.exe||3주|수||09:00
11_5_유치원알리미.exe||3주|수||09:00
12_1_미니스톱.exe||3주|수||09:00
13_1_수소충전소.exe||3주|수||09:00
14_1_팩토리온.exe||4주|수||09:00
15_1_CU.exe||4주|수||15:00
16_1_신설법인.exe||매주|월||09:00
17_1_우체국정보.exe|매월|||1|09:00
18_1_건축인허가.exe||2주|수||09:00
19_1_행정표준기관코드.exe||매주|수||09:00
20_1_직방.exe|매월|||1|09:00
20_2_부동산114.exe|매월|||1|09:00
21_1_도공_화물차라운지.exe|매월|||1|09:00
21_2_창고114.exe|매월|||1|09:00
22_1_예정정보포털수집.exe||매주|월||09:00
