TYPE|TEXT|LCODE|COMPLETE_DATE
시설|제주도 제주애월미노코스마을 2018년 6월 준공예정|147 432 5071|2018-06-01
도로 : 일반도로|지방도 513호선 구산 옥동 확장 공사 2020-12-00|518 433 7153|2019-10-22
도로 : 일반도로|지방도 345호 우만~흔암 도로확포장공사 2020-12-00|558 293 8940|2020-05-31
시설|시흥매화산업단지2020-06-00|576 442 9695|2020-06-01
아파트|DMC롯데캐슬더퍼스트-2020년6월예정|594 883 0454|2020-06-01
시설|모빌리티 라이프 스타일 충전소 - 2021년 1월 가동 예정|589 603 3204|2020-06-01
시설|용인테크노밸리일반산업단지 2020-06-00|550 363 3883|2020-09-01
시설|진주정촌뿌리산단 - 2021.02 준공|328 124 3558|2020-09-30
아파트|힐스테이트송도더테라스-2020년10월예정|576 022 7590|2020-10-01
시설|천주교대전교구청-2020년11월예정|476 933 4936|2020-11-01
아파트|경남고성실버주택 - 2021.01 입주 예정|313 254 5818|2020-11-01
아파트|고덕강일리버스트 8단지 - 2021.02 입주예정|593 433 3525|2020-11-01
시설|대전 유성구 보건소 2020년 11월 예정|461 893 5170|2020-11-23
도로 : 일반도로|고성군 신월ic-월평교 도로공사 2020-12-00|311 154 6080|2020-12-01
아파트|인천송림파인앤유-2020년12월예정|583 252 7852|2020-12-01
아파트|강동리엔파크 11단지 - 2021.02월 말 입주 예정|591 583 3576|2020-12-01
시설|영주동 거점 주차장 2020년 12월 완공 예정|512 554 9139|2020-12-01
아파트|목포산정대광로제비앙아파트-2021년 3월 입주 예정|294 612 4953|2020-12-01
시설|세종벤처밸리 일반산업단지 2020-12-00|493 513 4547|2020-12-01
아파트|광산쌍용예가플래티넘 2021.01 입주 예정|332 942 9620|2020-12-01
아파트|비스타동원2차 2020년 12월 예정|344 765 5720|2020-12-01
아파트|동래롯데캐슬퀸-2020년12월 예정|337 785 4078|2020-12-01
아파트|광양읍 공공실버주택 - 2021.02 예정|313 303 7969|2020-12-01
아파트|신안동 국제미소래 3차 주상복합 아파트 2021-02-00|333 313 0622|2020-12-01
시설|삼정아트테라스정동-2020년12월예정|592 523 1317|2020-12-01
도로 : 일반도로|국도 47호선 진접-내촌간 도로 1공구 2020-12-07|611 083 3804|2020-12-07
도로 : 일반도로|진접-내촌 2공구 2020-12-31|615 463 4079|2020-12-07
시설|화성시청 정문 수소충전소 2021년 5월 예정|553 042 9787|2020-12-08
시설|수정 커뮤니티센터 및 수진동공영주차장 - 2020년 12월 12일 준공|579 333 3093|2020-12-12
시설|인천1호선 송도달빛축제공원역 - 2020년 12월 12일 개통 예정|575 642 7585|2020-12-12
도로 : 일반도로|합천 핫들1아파트 ~ 농산물품질관리원 간 도시계획도로 - 2020.12 준공|377 384 4221|2020-12-17
도로 : 일반도로|동천제방겸용도로 우안제 2020-12-22|375 965 6998|2020-12-22
시설|경기남양주북부경찰서 2020년 12월 예정|608 393 3602|2020-12-23
시설|원주역 2020-12-23|565 864 1582|2020-12-23
도로 : 국도|청송우회도로 국도건설공사 2020-12-00|466 545 4058|2020-12-24
시설|오산 문화의거리 제2공영주차장 완공|547 443 2386|2020-12-28
도로 : 일반도로|서창2지구-신천ic 연결도로 2020-12-29 개통|577 972 9108|2020-12-29
시설|천성산스포츠파크 준공|361 075 3965|2020-12-31
시설|대전 부사시장 주차장 준공|457 603 6321|2020-12-31
도로 : 일반도로|고속도로 연속이동단속구간 확인 요청 (제천방향 평택JC ~ 고덕IC 구간)|535 103 1315|2020-12-31
도로 : 일반도로|고속도로 연속이동단속구간 확인 요청 (서울방향 서산IC ~ 당진IC 구간)|510 192 6972|2020-12-31
도로 : 국도|국도 40호선 홍성서부남당 2020-12-31|481 562 5991|2020-12-31
시설|강일119안전센터 - 2020.12.23 준공|591 893 3562|2020-12-31
도로 : 일반도로|대전 과학벨트 진입도로 B 2020-12-00|472 103 5562|2020-12-31
도로 : 일반도로|반여삼어교 - 2020.12.31 개통|338 215 4518|2020-12-31
시설|삼척중앙시장 1주차장 주차타워 - 2020.11 준공 예정|579 535 5006|2020-12-31
시설|옥계첨단소재융합산업지구|598 615 3613|2020-12-31
시설|충주 한스타워 - 2020.12 예정|529 644 1645|2020-12-31
도로 : 국도|주포-오천 확포장공사 준공|468 692 7140|2020-12-31
아파트|안동운흥 A2블록 행복주택아파트 2021-01-00|484 285 0306|2021-01-01
시설|더펜트하우스수성-2021년 1월 입주 예정|404 074 9100|2021-01-01
시설|수원 대유평지구 2021-00-00|562 933 1543|2021-01-01
시설|온천장역삼정그린코아더시티-2021년1월예정|339 225 4116|2021-01-01
아파트|장성삼계아파트 - 2021.01 입주 예정|343 512 7989|2021-01-01
시설|남양주 북부 장애인 복지관 2021년 1월 예정|611 643 3953|2021-01-01
시설|명지제나우스 2021년 2월 예정|325 615 2236|2021-01-01
아파트|양주옥정대방노블랜드-2021년 1월예정|620 213 2672|2021-01-01
시설|서림마을행복주택 A블럭 2021년 1월 입주 예정|333 123 0527|2021-01-01
아파트|래미안목동아델리체-2021년1월예정|587 693 0019|2021-01-01
시설|제주 테라시티더숨 - 2021.1 입주 예정|146 452 5453|2021-01-01
시설|울산병원 증축리모델링 2021년 예정|374 665 6711|2021-01-01
아파트|포천송우1서희스타힐스 -2021년 4월|622 093 3203|2021-01-01
아파트|노형벽강하이본타워7차 - 2021.01 입주예정|152 042 6069|2021-01-01
아파트|진주일동미라주 -2021년1월|335 494 3375|2021-01-01
아파트|두산알프하임-2021년1월예정|601 973 4378|2021-01-01
아파트|동탄역힐스테이트2차-2021년1월예정|554 693 2624|2021-01-01
아파트|서림마을 행복주택 B블럭 -2021년 1월 입주 예정|333 063 0536|2021-01-01
아파트|대방디엠시티더센텀 2021년 1월 예정|554 383 2704|2021-01-01
아파트|수원고등C1블록 행복주택 - 2021.01 입주|561 123 1598|2021-01-01
아파트|평촌어바인퍼스트-2021년1월예정|571 973 1140|2021-01-01
아파트|다산자이아이비플레이스아파트-2021년1월예정|599 433 3253|2021-01-01
도로 : 일반도로|광진교 남단 나들목 신설 - 2020.12 예정|591 463 2968|2021-01-04
도로 : 일반도로|덕계시가지 도로정비 - 2020.12 까지|356 225 4870|2021-01-04
